from,to,from_alt,to_alt,playername,transfersumme,weight,transfertype,season,year,transferfenster,ligaintern,transferid
GER2,VFB,SpVgg Greuther Fuerth,VfB Stuttgart,Julian Green,100.000,2,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/161204/transfer_id/1899786
GER2,VFB,1.FC Nuernberg,VfB Stuttgart,Tobias Werner,100.000,2,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/26878/transfer_id/1896056
GER2,F95,Arminia Bielefeld,Fortuna Duesseldorf,Anderson Lucoqui,100000,2,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/240274/transfer_id/2246894
GER2,FCA,SpVgg Greuther Fuerth,FC Augsburg,Shawn Parker,100000,2,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/89659/transfer_id/2225889
GER2,FCA,SV Darmstadt 98,FC Augsburg,Tim Rieder,100000,2,2,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/111277/transfer_id/2214130
GER2,WOL,SpVgg Greuther Fuerth,VfL Wolfsburg,Paul Seguin,100000,2,2,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/183780/transfer_id/2372608
GER2,F95,SpVgg Greuther Fuerth,Fortuna Duesseldorf,Havard Nielsen,100000,2,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/136181/transfer_id/2575375
GER2,KOE,Hannover 96,1.FC Koeln,Jannes Horn,100000,2,2,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/231586/transfer_id/2607745
GER2,SGE,SSV Jahn Regensburg,Eintracht Frankfurt,Max Besuschkow,100000,2,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/207578/transfer_id/2522372
GER2,S04,Holstein Kiel,FC Schalke 04,Fabian Reese,100000,2,1,1920,2020,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/227102/transfer_id/2743566
GER2,ARM,Eintracht Braunschweig,Arminia Bielefeld,Brian Behrendt,100000,2,1,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/85660/transfer_id/3178611
GER2,WOL,FC St Pauli,VfL Wolfsburg,Omar Marmoush,100000,2,2,2021,2021,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/445939/transfer_id/3190863
GER2,SCF,SC Paderborn 07,SC Freiburg,Mohamed Draeger,750000,2,2,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/192167/transfer_id/2141497
GER2,H96,1.FC Koeln,Hannover 96,Daniel Royer,120000,3,2,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/74762/transfer_id/735622
GER2,WOL,FC Energie Cottbus,VfL Wolfsburg,Daniel Adlung,150.000,3,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31469/transfer_id/461202
GER2,BVB,FC Augsburg,Borussia Dortmund,Moritz Leitner,150.000,3,2,1011,2011,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/82243/transfer_id/513158
GER2,BRE,1.FC Union Berlin,SV Werder Bremen,John Jairo Mosquera,150000,3,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31108/transfer_id/558310
GER2,BRE,FC St. Pauli,SV Werder Bremen,Kevin Schindler,150000,3,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/33662/transfer_id/622776
GER2,KOE,Eintracht Frankfurt,1.FC Koeln,Thomas Kessler,150000,3,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/5072/transfer_id/582646
GER2,BRE,SC Paderborn 07,SV Werder Bremen,Florian Hartherz,150.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93571/transfer_id/942774
GER2,WOL,FC Energie Cottbus,VfL Wolfsburg,Michael Schulze,150.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45758/transfer_id/883555
GER2,TSG,VfR Aalen,TSG 1899 Hoffenheim,Andreas Ludwig,150.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/67850/transfer_id/1066482
GER2,FCA,1.FC Heidenheim 1846,FC Augsburg,Ronny Philp,150000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/60026/transfer_id/1317696
GER2,FCA,TSV 1860 München,FC Augsburg,Sascha Moelders,150.000,3,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/17689/transfer_id/1480206
GER2,TSG,FC Ingolstadt 04,TSG 1899 Hoffenheim,Antonio Colak,150.000,3,2,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/160668/transfer_id/1819509
GER2,RBL,VfL Bochum,RasenBallsport Leipzig,Vitaly Janelt,150000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/270171/transfer_id/2120232
GER2,S04,SC Paderborn 07,FC Schalke 04,Bernard Tekpetey,150000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/422380/transfer_id/2194783
GER2,SCF,1.FC Union Berlin,SC Freiburg,Rafal Gikiewicz,150000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/78339/transfer_id/2106095
GER2,BSC,FC St Pauli,Hertha BSC,Dennis Smarsch,150000,3,1,2021,2020,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/342966/transfer_id/2997080
GER2,BRE,FC Augsburg,SV Werder Bremen,Torsten Oehrl,200.000,3,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31451/transfer_id/432442
GER2,BRE,Hertha BSC,SV Werder Bremen,Peter Niemeyer,200.000,3,2,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/4691/transfer_id/464548
GER2,TSG,Fortuna Duesseldorf,TSG 1899 Hoffenheim,Wellington,200.000,3,2,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/67207/transfer_id/443786
GER2,WOL,VfL Bochum,VfL Wolfsburg,Mahir Saglik,200.000,3,1,1011,2010,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/2453/transfer_id/460127
GER2,BVB,FC Energie Cottbus,Borussia Dortmund,Dimitar Rangelov,200000,3,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/39912/transfer_id/591624
GER2,VFB,FC St. Pauli,VfB Stuttgart,Patrick Funk,200000,3,2,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/40670/transfer_id/583177
GER2,FCA,FC Energie Cottbus,FC Augsburg,Uwe Moehrle,200000,3,1,1112,2012,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1563/transfer_id/659839
GER2,BVB,FC Energie Cottbus,Borussia Dortmund,Marco Stiepermann,200000,3,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/45760/transfer_id/720606
GER2,WOL,FSV Frankfurt,VfL Wolfsburg,Rasmus Joensson,200000,3,2,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/72457/transfer_id/830322
GER2,S04,FC Ingolstadt 04,FC Schalke 04,Philipp Hofmann,200.000,3,2,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119037/transfer_id/908920
GER2,VFB,FC Ingolstadt 04,VfB Stuttgart,Andre Weis,200.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/58806/transfer_id/886990
GER2,BRE,1.FC Union Berlin,SV Werder Bremen,Martin Kobylanski,200.000,3,2,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93853/transfer_id/1119902
GER2,HSV,SpVgg Greuther Fuerth,Hamburger SV,Zhi Gin Lam,200.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/69396/transfer_id/1067058
GER2,S04,Fortuna Duesseldorf,FC Schalke 04,Lars Unnerstall,200.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53696/transfer_id/1064560
GER2,SGE,SpVgg Greuther Fuerth,Eintracht Frankfurt,Stephan Schroeck,200.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/27611/transfer_id/1077844
GER2,BVB,FC St. Pauli,Borussia Dortmund,Jeremy Dudziak,200000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/147359/transfer_id/1330460
GER2,BVB,1.FC Kaiserslautern,Borussia Dortmund,Zlatan Alomerovic,200000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/47594/transfer_id/1258631
GER2,S04,Fortuna Duesseldorf,FC Schalke 04,Marcel Sobottka,200000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/119044/transfer_id/1289388
GER2,BRE,Wuerzburger Kickers,SV Werder Bremen,Lukas Froede,200.000,3,1,1617,2017,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/153628/transfer_id/1660441
GER2,BRE,SpVgg Greuther Fuerth,SV Werder Bremen,Levent Aycicek,200.000,3,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/117476/transfer_id/1899080
GER2,RBL,1.FC Koeln,RasenBallsport Leipzig,Benno Schmitz,200000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/160968/transfer_id/2115303
GER2,TSG,1.FC Union Berlin,TSG 1899 Hoffenheim,Robert Zulj,200000,3,2,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/122676/transfer_id/2234386
GER2,VFB,SpVgg Greuther Fuerth,VfB Stuttgart,Julian Green,200000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/161204/transfer_id/2135765
GER2,WOL,SpVgg Greuther Fuerth,VfL Wolfsburg,Paul Jaeckel,200000,3,1,1819,2018,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/284248/transfer_id/2245838
GER2,TSG,1.FC Heidenheim 1846,TSG 1899 Hoffenheim,David Otto,200000,3,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/362184/transfer_id/2481100
GER2,BSC,Eintracht Frankfurt,Hertha BSC,Rob Friend,250000,3,1,1112,2011,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/37176/transfer_id/629998
GER2,BRE,Hertha BSC,SV Werder Bremen,Sandro Wagner,250000,3,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/39743/transfer_id/752648
GER2,H96,TSV 1860 Muenchen,Hannover 96,Moritz Stoppelkamp,250000,3,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/32845/transfer_id/731358
GER2,S04,Hertha BSC,FC Schalke 04,Peer Kluge,250000,3,1,1213,2012,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/1095/transfer_id/736549
GER2,VFB,FC Ingolstadt 04,VfB Stuttgart,Tamas Hajnal,250.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/264/transfer_id/922022
GER2,BRE,SpVgg Greuther Fuerth,SV Werder Bremen,Johannes Wurtz,250.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/93926/transfer_id/1050403
GER2,BSC,SV Darmstadt 98,Hertha BSC,Fabian Holland,250.000,3,2,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/54846/transfer_id/1077049
GER2,WOL,1.FC Kaiserslautern,VfL Wolfsburg,Mateusz Klich,250.000,3,1,1415,2015,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/92738/transfer_id/1168566
GER2,KOE,1.FC Union Berlin,1.FC Koeln,Maximilian Thiel,250000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/120301/transfer_id/1233280
GER2,WOL,1.FC Nuernberg,VfL Wolfsburg,Stefan Kutschke,250000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/51069/transfer_id/1260099
GER2,HSV,1.FC Kaiserslautern,Hamburger SV,Zoltan Stieber,250.000,3,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/61591/transfer_id/1568232
GER2,M05,1.FC Kaiserslautern,1.FSV Mainz 05,Christoph Moritz,250.000,3,1,1617,2016,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/55519/transfer_id/1520256
GER2,H96,Fortuna Duesseldorf,Hannover 96,Andre Hoffmann,250.000,3,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/85164/transfer_id/1771933
GER2,KOE,1.FC Union Berlin,1.FC Koeln,Marcel Hartel,250.000,3,1,1718,2017,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/189073/transfer_id/1766742
GER2,SGE,VfL Bochum,Eintracht Frankfurt,Danny Blum,250000,3,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/41541/transfer_id/2481783
GER2,UNI,Arminia Bielefeld,1.FC Union Berlin,Marcel Hartel,250000,3,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/189073/transfer_id/2576603
GER2,SGE,1.FC Kaiserslautern,Eintracht Frankfurt,Benjamin Koehler,300000,3,1,1213,2013,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/332/transfer_id/824345
GER2,BMG,FSV Frankfurt,Borussia Moenchengladbach,Mathew Leckie,300.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/126214/transfer_id/878411
GER2,M05,1.FC Union Berlin,1.FSV Mainz 05,Fabian Schoenheim,300.000,3,1,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/31652/transfer_id/865676
GER2,VFB,1.FC Kaiserslautern,VfB Stuttgart,Kevin Stoeger,300.000,3,2,1314,2013,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/106872/transfer_id/897189
GER2,BRE,1.FC Nuernberg,SV Werder Bremen,Niclas Fuellkrug,300.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/75489/transfer_id/1074430
GER2,H96,Fortuna Duesseldorf,Hannover 96,Christoph Avevor,300.000,3,1,1415,2014,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/94174/transfer_id/1070334
GER2,M05,Fortuna Duesseldorf,1.FSV Mainz 05,Julian Koch,300000,3,1,1516,2015,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/53534/transfer_id/1254649
GER2,FCB,VfB Stuttgart,FC Bayern Muenchen,Julian Green,300000,3,1,1617,2017,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/161204/transfer_id/1652206
GER2,FCA,1.FC Union Berlin,FC Augsburg,Marvin Friedrich,300.000,3,1,1718,2018,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/196231/transfer_id/2016127
GER2,BVB,SG Dynamo Dresden,Borussia Dortmund,Dzenis Burnic,300000,3,2,1819,2019,2,2,https://www.transfermarkt.de/jumplist/transfers/spieler/251295/transfer_id/2388685
GER2,KOE,1.FC Nuernberg,1.FC Koeln,Tim Handwerker,300000,3,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/284177/transfer_id/2538576
GER2,WOL,SpVgg Greuther Fuerth,VfL Wolfsburg,Paul Seguin,300000,3,1,1920,2019,1,2,https://www.transfermarkt.de/jumplist/transfers/spieler/183780/transfer_id/2468428
